"zip_code","Population","MedianIncome","city","state","latitude","longitude"
92391,3001,37150,"Twin Peaks","CA",34.839964,-115.967051
92392,56461,56277,"Victorville","CA",34.489466,-117.35321
92394,34479,51500,"Victorville","CA",34.55965,-117.35773
92397,4616,54000,"Wrightwood","CA",34.35876,-117.62752
92398,1165,63750,"Yermo","CA",34.909491,-116.84058
92399,54056,59302,"Yucaipa","CA",34.033564,-117.03776
92401,2104,16649,"San Bernardino","CA",34.105079,-117.29075
92404,60501,38767,"San Bernardino","CA",34.14856,-117.26298
92405,29526,37591,"San Bernardino","CA",34.141659,-117.29722
92407,60118,51702,"San Bernardino","CA",34.198189,-117.35826
92408,15318,33750,"San Bernardino","CA",34.080662,-117.27357
92410,47510,27120,"San Bernardino","CA",34.106965,-117.2975
92411,26364,32747,"San Bernardino","CA",34.12051,-117.3176
92501,22216,48610,"Riverside","CA",33.991181,-117.37074
92503,92959,55051,"Riverside","CA",33.91355,-117.46052
92504,53960,57052,"Riverside","CA",33.926315,-117.40937
92505,49064,55947,"Riverside","CA",33.921765,-117.48812
92506,45993,78116,"Riverside","CA",33.943615,-117.37239
92507,55156,41051,"Riverside","CA",33.978965,-117.33646
92508,36583,92684,"Riverside","CA",33.890313,-117.32122
92509,78221,57286,"Riverside","CA",33.998751,-117.44695
92518,1129,68261,"March Air Force Base","CA",33.891084,-117.2726
92530,51816,49552,"Lake Elsinore","CA",33.675893,-117.34946
92532,21260,87361,"Lake Elsinore","CA",33.696543,-117.3247
92536,2750,44010,"Aguanga","CA",33.485978,-116.82004
92539,3890,38853,"Anza","CA",33.55055,-116.67362
92543,34680,27163,"Hemet","CA",33.73542,-116.97401
92544,47136,42084,"Hemet","CA",33.708843,-116.90948
92545,41078,40119,"Hemet","CA",33.736743,-117.0217
92548,7020,39464,"Homeland","CA",33.749656,-117.11706
92549,2652,60625,"Idyllwild","CA",33.750795,-116.72562
92551,33050,50449,"Moreno Valley","CA",33.889035,-117.22046
92553,73803,42984,"Moreno Valley","CA",33.923243,-117.24211
92555,40419,73352,"Moreno Valley","CA",33.922823,-117.16837
92557,51871,60655,"Moreno Valley","CA",33.957957,-117.24833
92561,1600,78630,"Mountain Center","CA",33.632049,-116.55878
92562,63293,75448,"Murrieta","CA",33.568617,-117.25264
92563,57605,77105,"Murrieta","CA",33.571185,-117.15362
